1698072926705|6|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning_app?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1698072926728|9|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning_app?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_delete,create_time,update_time  FROM t_user     WHERE (username = ?)|SELECT  user_id,username,password,email,is_delete,create_time,update_time  FROM t_user     WHERE (username = 'newone')
1698073407766|6|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning_app?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1698073407790|9|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning_app?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_delete,create_time,update_time  FROM t_user     WHERE (username = ?)|SELECT  user_id,username,password,email,is_delete,create_time,update_time  FROM t_user     WHERE (username = 'newone')
1698073443086|6|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning_app?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1698073443102|2|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning_app?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = ?)|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = 'newone')
1698073490008|6|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning_app?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1698073490022|1|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning_app?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = ?)|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = 'newone')
1698073602729|6|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning_app?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1698073602743|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning_app?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = ?)|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = 'newone')
1698073690545|7|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning_app?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1698073690560|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning_app?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = ?)|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = 'newone')
