1701766914718|9|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1701766914737|1|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = ? AND password = ?)|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = NULL AND password = NULL)
1701775841409|5|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1701775841422|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = ? AND password = ?)|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = NULL AND password = NULL)
1701776412168|9|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1701776412187|1|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = ? AND password = ?)|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = 'newone' AND password = '123456')
1701777320169|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1701777320171|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = ? AND password = ?)|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = 'newone' AND password = '123456')
1701777377974|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1701777377975|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = ? AND password = ?)|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = 'newone' AND password = '12345')
1701777392397|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1701777392398|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = ? AND password = ?)|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = 'n' AND password = '')
1701777672715|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1701777672715|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = ? AND password = ?)|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = 'newone' AND password = '')
1701777703808|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1701777703809|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = ? AND password = ?)|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = '1' AND password = '')
1701777715945|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1701777715946|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = ? AND password = ?)|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = 'newone' AND password = '123456')
1701785120241|5|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1701785120252|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/english_learning?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = ? AND password = ?)|SELECT  user_id,username,password,email,is_deleted,create_time,update_time  FROM t_user     WHERE (username = 'newone' AND password = '123456')
